Paper,,,Experimental Design,,,,Demographic,,,,,,,,Game Structure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punishment Info,,,,Help/Compensation Info,,,,Keep info,,,Notes
No.,Title,Study,Lab or Online,Group Manipulation,Group manipulation Indicator,Group Selection/Instruction,Number of Valid Participants,Sample Source,Female,Male,Age (mean),Age (SD),Nationality,Country ,Game Type,Game explanation,Real or deception,One-shot Interaction? (Do participants believe that players will never meet again? Also Yes if third-parties are evaluating past interaction),Previous Engagement (Whether the participants enaged as players before),"Future Engagement (Whether the participants will, or believe they will, enegae as players later)",Multiplier in the game,Person A Endowments,Person B Endowments,Punisher Choices,Punisher Endowments,Punishment min,Punishment max,Punishment-Cost Ratio,Reward min,Reward Max,Reward-cost Ratio,Token/Monetary Unit or Currency?,"Exchange Rate
Per Token/Monetary Unit to Money",Currency,Person A Affiliation Manipulated or Not?,Between or Within?,Person B Affliation Manipulated or Not?,Between or Within?,Fairness/Cooperativeness of Person A Manipulated or Not?,Between or Within?,Definition of Fairness/Cooperativeness,Fairness/Cooperativeness of Person B Manipulated or Not?,Between or Within?,Other IV,Between or Within,Levels,Fairness/Cooperativeness of Person A,Fairness/Cooperativeness of Person B,Person A affiliation,Recipient/Player B Affliation,N by condition,Trials per Participant,Total Trials,P_Proportion,P_Frequency,P_Average Invested Amount,P_SD invested amount ,H_Proportion ,H_Frequency,H_Average Invested Amount,K_SD invested amount ,K_Proportion ,K_Frequency,K_SD,Notes
46,Altruistic punishment in intergroup context,1,Online,Natural,Department Affiliation,Department (Psychology or English Languages and Literature),38,Undergraduates,20,18,20.68,1.16,,Turkey,Dictator Game,"Three players: Player A (distributor) receives an endowment and decides how much to share with Player B (recipient). Player C (participant) observes and can spend part of their own endowment to reduce Player A’s endowment. Each unit spent by Player C removes three units from Player A. Fairness manipulation: equal allocation vs. unfair allocation. Participants encounter different players each round, preventing reciprocity.",Deception,Yes,No,No,1,40,0,Punish Only,20,0,20,3,NA,NA,NA,Token,Not Reported,TRY,Yes,Within,Yes,Within,Yes,Within,"Fair: half,20
Unfair: 1,2,3",No,NA,,,,Unfair,,Ingroup,Outgroup,38,4,152,,149,8.7,3.33,,,,,,,,
46,Altruistic punishment in intergroup context,1,Online,Natural,Department Affiliation,Department (Psychology or English Languages and Literature),38,Undergraduates,20,18,20.68,1.16,,Turkey,Dictator Game,"Three players: Player A (distributor) receives an endowment and decides how much to share with Player B (recipient). Player C (participant) observes and can spend part of their own endowment to reduce Player A’s endowment. Each unit spent by Player C removes three units from Player A. Fairness manipulation: equal allocation vs. unfair allocation. Participants encounter different players each round, preventing reciprocity.",Deception,Yes,No,No,1,40,0,Punish Only,20,0,20,3,NA,NA,NA,Token,Not Reported,TRY,Yes,Within,Yes,Within,Yes,Within,"Fair: half,20
Unfair: 1,2,3",No,NA,,,,Unfair,,Outgroup,Ingroup,38,4,152,,152,9.78,3.38,,,,,,,,
46,Altruistic punishment in intergroup context,1,Online,Natural,Department Affiliation,Department (Psychology or English Languages and Literature),38,Undergraduates,20,18,20.68,1.16,,Turkey,Dictator Game,"Three players: Player A (distributor) receives an endowment and decides how much to share with Player B (recipient). Player C (participant) observes and can spend part of their own endowment to reduce Player A’s endowment. Each unit spent by Player C removes three units from Player A. Fairness manipulation: equal allocation vs. unfair allocation. Participants encounter different players each round, preventing reciprocity.",Deception,Yes,No,No,1,40,0,Punish Only,20,0,20,3,NA,NA,NA,Token,Not Reported,TRY,Yes,Within,Yes,Within,Yes,Within,"Fair: half,20
Unfair: 1,2,3",No,NA,,,,Unfair,,Outgroup,Outgroup,38,4,152,,152,9.24,3.22,,,,,,,,
46,Altruistic punishment in intergroup context,1,Online,Natural,Department Affiliation,Department (Psychology or English Languages and Literature),38,Undergraduates,20,18,20.68,1.16,,Turkey,Dictator Game,"Three players: Player A (distributor) receives an endowment and decides how much to share with Player B (recipient). Player C (participant) observes and can spend part of their own endowment to reduce Player A’s endowment. Each unit spent by Player C removes three units from Player A. Fairness manipulation: equal allocation vs. unfair allocation. Participants encounter different players each round, preventing reciprocity.",Deception,Yes,No,No,1,40,0,Punish Only,20,0,20,3,NA,NA,NA,Token,Not Reported,TRY,Yes,Within,Yes,Within,Yes,Within,"Fair: half,20
Unfair: 1,2,3",No,NA,,,,Fair,,Ingroup,Ingroup,38,1,38,,25,2.97,4.35,,,,,,,,
46,Altruistic punishment in intergroup context,1,Online,Natural,Department Affiliation,Department (Psychology or English Languages and Literature),38,Undergraduates,20,18,20.68,1.16,,Turkey,Dictator Game,"Three players: Player A (distributor) receives an endowment and decides how much to share with Player B (recipient). Player C (participant) observes and can spend part of their own endowment to reduce Player A’s endowment. Each unit spent by Player C removes three units from Player A. Fairness manipulation: equal allocation vs. unfair allocation. Participants encounter different players each round, preventing reciprocity.",Deception,Yes,No,No,1,40,0,Punish Only,20,0,20,3,NA,NA,NA,Token,Not Reported,TRY,Yes,Within,Yes,Within,Yes,Within,"Fair: half,20
Unfair: 1,2,3",No,NA,,,,Fair,,Ingroup,Outgroup,38,1,38,,28,2.89,3.31,,,,,,,,
46,Altruistic punishment in intergroup context,1,Online,Natural,Department Affiliation,Department (Psychology or English Languages and Literature),38,Undergraduates,20,18,20.68,1.16,,Turkey,Dictator Game,"Three players: Player A (distributor) receives an endowment and decides how much to share with Player B (recipient). Player C (participant) observes and can spend part of their own endowment to reduce Player A’s endowment. Each unit spent by Player C removes three units from Player A. Fairness manipulation: equal allocation vs. unfair allocation. Participants encounter different players each round, preventing reciprocity.",Deception,Yes,No,No,1,40,0,Punish Only,20,0,20,3,NA,NA,NA,Token,Not Reported,TRY,Yes,Within,Yes,Within,Yes,Within,"Fair: half,20
Unfair: 1,2,3",No,NA,,,,Fair,,Outgroup,Ingroup,38,1,38,,27,3.03,4.06,,,,,,,,
46,Altruistic punishment in intergroup context,1,Online,Natural,Department Affiliation,Department (Psychology or English Languages and Literature),38,Undergraduates,20,18,20.68,1.16,,Turkey,Dictator Game,"Three players: Player A (distributor) receives an endowment and decides how much to share with Player B (recipient). Player C (participant) observes and can spend part of their own endowment to reduce Player A’s endowment. Each unit spent by Player C removes three units from Player A. Fairness manipulation: equal allocation vs. unfair allocation. Participants encounter different players each round, preventing reciprocity.",Deception,Yes,No,No,1,40,0,Punish Only,20,0,20,3,NA,NA,NA,Token,Not Reported,TRY,Yes,Within,Yes,Within,Yes,Within,"Fair: half,20
Unfair: 1,2,3",No,NA,,,,Fair,,Outgroup,Outgroup,38,1,38,,26,3.21,4.18,,,,,,,,
46,Altruistic punishment in intergroup context,2,Online,Natural,Department,Department (Psychology or English Languages and Literature),174,Undergradutes,139,35,21.16,2.82,,Turkey,Dictator Game,Same as study 1,Deception,Yes,No,No,1,40,0,Punish Only,20,0,20,3,NA,NA,NA,Token (Tickets),Not Reported,TRY,Yes,Between,Yes,Between,Yes,Within,"Fair: half,20
Unfair: 1,2,3",No,NA,,,,Unfair,,Ingroup,Ingroup,47,4,188,,167,7.27,4.4,,,,,,,,
46,Altruistic punishment in intergroup context,2,Online,Natural,Department,Department (Psychology or English Languages and Literature),174,Undergradutes,139,35,21.16,2.82,,Turkey,Dictator Game,Same as study 1,Deception,Yes,No,No,1,40,0,Punish Only,20,0,20,3,NA,NA,NA,Token (Tickets),Not Reported,TRY,Yes,Between,Yes,Between,Yes,Within,"Fair: half,20
Unfair: 1,2,3",No,NA,,,,Unfair,,Ingroup,Outgroup,41,4,164,,142,5.57,3.77,,,,,,,,
46,Altruistic punishment in intergroup context,2,Online,Natural,Department,Department (Psychology or English Languages and Literature),174,Undergradutes,139,35,21.16,2.82,,Turkey,Dictator Game,Same as study 1,Deception,Yes,No,No,1,40,0,Punish Only,20,0,20,3,NA,NA,NA,Token (Tickets),Not Reported,TRY,Yes,Between,Yes,Between,Yes,Within,"Fair: half,20
Unfair: 1,2,3",No,NA,,,,Unfair,,Outgroup,Ingroup,43,4,172,,156,6.05,3.71,,,,,,,,
46,Altruistic punishment in intergroup context,2,Online,Natural,Department,Department (Psychology or English Languages and Literature),174,Undergradutes,139,35,21.16,2.82,,Turkey,Dictator Game,Same as study 1,Deception,Yes,No,No,1,40,0,Punish Only,20,0,20,3,NA,NA,NA,Token (Tickets),Not Reported,TRY,Yes,Between,Yes,Between,Yes,Within,"Fair: half,20
Unfair: 1,2,3",No,NA,,,,Unfair,,Outgroup,Outgroup,43,4,172,,150,5.3,3.48,,,,,,,,
46,Altruistic punishment in intergroup context,2,Online,Natural,Department,Department (Psychology or English Languages and Literature),174,Undergradutes,139,35,21.16,2.82,,Turkey,Dictator Game,Same as study 1,Deception,Yes,No,No,1,40,0,Punish Only,20,0,20,3,NA,NA,NA,Token (Tickets),Not Reported,TRY,Yes,Between,Yes,Between,Yes,Within,"Fair: half,20
Unfair: 1,2,3",No,NA,,,,Fair,,Ingroup,Ingroup,47,4,188,,72,1.57,2.57,,,,,,,,
46,Altruistic punishment in intergroup context,2,Online,Natural,Department,Department (Psychology or English Languages and Literature),174,Undergradutes,139,35,21.16,2.82,,Turkey,Dictator Game,Same as study 1,Deception,Yes,No,No,1,40,0,Punish Only,20,0,20,3,NA,NA,NA,Token (Tickets),Not Reported,TRY,Yes,Between,Yes,Between,Yes,Within,"Fair: half,20
Unfair: 1,2,3",No,NA,,,,Fair,,Ingroup,Outgroup,41,4,164,,58,2.33,3.39,,,,,,,,
46,Altruistic punishment in intergroup context,2,Online,Natural,Department,Department (Psychology or English Languages and Literature),174,Undergradutes,139,35,21.16,2.82,,Turkey,Dictator Game,Same as study 1,Deception,Yes,No,No,1,40,0,Punish Only,20,0,20,3,NA,NA,NA,Token (Tickets),Not Reported,TRY,Yes,Between,Yes,Between,Yes,Within,"Fair: half,20
Unfair: 1,2,3",No,NA,,,,Fair,,Outgroup,Ingroup,43,4,172,,63,1.59,2.48,,,,,,,,
46,Altruistic punishment in intergroup context,2,Online,Natural,Department,Department (Psychology or English Languages and Literature),174,Undergradutes,139,35,21.16,2.82,,Turkey,Dictator Game,Same as study 1,Deception,Yes,No,No,1,40,0,Punish Only,20,0,20,3,NA,NA,NA,Token (Tickets),Not Reported,TRY,Yes,Between,Yes,Between,Yes,Within,"Fair: half,20
Unfair: 1,2,3",No,NA,,,,Fair,,Outgroup,Outgroup,43,4,172,,75,1.56,1.98,,,,,,,,
64,The Mentalizing Network Orchestrates the Impact of Parochial Altrusism on Social Norm Enforcement ,1,Lab,Natural,Platoon Affiliation,Real social groups — Swiss Army officer candidates randomly assigned to platoons during training,16,Swiss Army officer candidates,0,16,24.5,2.2,,Switzerland,Prisoners' Dilemma,"Stage 1 — Player A and Player B each start with 20 points and simultaneously choose to keep their points (defect) or pass them to the other player (cooperate). Passed points are doubled. Defection keeps the 20 points; cooperation sends 20 to the other player, who receives 40. Stage 2 — Player C (third-party) observes past A/B decisions and can punish one player. Player C starts with 10 points per trial; spending 1 point deducts 3 points from the punished player. Points not spent are converted to money.",Real,Yes,Yes,No,2,20,20,Punish Only,10,0,10,3,NA,NA,NA,Token,0.2,CHF,Yes,Within,No,NA,Yes,Between,"Cooperate
Defect",Yes,Between,,,,Cooperate,Cooperate,Ingroup,Ingroup,16,1,16,,0,0,0,,,,,,,,
64,The Mentalizing Network Orchestrates the Impact of Parochial Altrusism on Social Norm Enforcement ,1,Lab,Natural,Platoon Affiliation,Real social groups — Swiss Army officer candidates randomly assigned to platoons during training,16,Swiss Army officer candidates,0,16,24.5,2.2,,Switzerland,Prisoners' Dilemma,"Stage 1 — Player A and Player B each start with 20 points and simultaneously choose to keep their points (defect) or pass them to the other player (cooperate). Passed points are doubled. Defection keeps the 20 points; cooperation sends 20 to the other player, who receives 40. Stage 2 — Player C (third-party) observes past A/B decisions and can punish one player. Player C starts with 10 points per trial; spending 1 point deducts 3 points from the punished player. Points not spent are converted to money.",Real,Yes,Yes,No,2,20,20,Punish Only,10,0,10,3,NA,NA,NA,Token,0.2,CHF,Yes,Within,No,NA,Yes,Between,"Cooperate
Defect",Yes,Between,,,,Cooperate,Cooperate,Ingroup,Outgroup,16,1,16,,2,0.38,1.02,,,,,,,,
64,The Mentalizing Network Orchestrates the Impact of Parochial Altrusism on Social Norm Enforcement ,1,Lab,Natural,Platoon Affiliation,Real social groups — Swiss Army officer candidates randomly assigned to platoons during training,16,Swiss Army officer candidates,0,16,24.5,2.2,,Switzerland,Prisoners' Dilemma,"Stage 1 — Player A and Player B each start with 20 points and simultaneously choose to keep their points (defect) or pass them to the other player (cooperate). Passed points are doubled. Defection keeps the 20 points; cooperation sends 20 to the other player, who receives 40. Stage 2 — Player C (third-party) observes past A/B decisions and can punish one player. Player C starts with 10 points per trial; spending 1 point deducts 3 points from the punished player. Points not spent are converted to money.",Real,Yes,Yes,No,2,20,20,Punish Only,10,0,10,3,NA,NA,NA,Token,0.2,CHF,Yes,Within,No,NA,Yes,Between,"Cooperate
Defect",Yes,Between,,,,Cooperate,Cooperate,Outgroup,Ingroup,16,1,16,,3,1.12,2.66,,,,,,,,
64,The Mentalizing Network Orchestrates the Impact of Parochial Altrusism on Social Norm Enforcement ,1,Lab,Natural,Platoon Affiliation,Real social groups — Swiss Army officer candidates randomly assigned to platoons during training,16,Swiss Army officer candidates,0,16,24.5,2.2,,Switzerland,Prisoners' Dilemma,"Stage 1 — Player A and Player B each start with 20 points and simultaneously choose to keep their points (defect) or pass them to the other player (cooperate). Passed points are doubled. Defection keeps the 20 points; cooperation sends 20 to the other player, who receives 40. Stage 2 — Player C (third-party) observes past A/B decisions and can punish one player. Player C starts with 10 points per trial; spending 1 point deducts 3 points from the punished player. Points not spent are converted to money.",Real,Yes,Yes,No,2,20,20,Punish Only,10,0,10,3,NA,NA,NA,Token,0.2,CHF,Yes,Within,No,NA,Yes,Between,"Cooperate
Defect",Yes,Between,,,,Cooperate,Defect,Ingroup,Ingroup,16,1,16,,2,0.47,1.31,,,,,,,,
64,The Mentalizing Network Orchestrates the Impact of Parochial Altrusism on Social Norm Enforcement ,1,Lab,Natural,Platoon Affiliation,Real social groups — Swiss Army officer candidates randomly assigned to platoons during training,16,Swiss Army officer candidates,0,16,24.5,2.2,,Switzerland,Prisoners' Dilemma,"Stage 1 — Player A and Player B each start with 20 points and simultaneously choose to keep their points (defect) or pass them to the other player (cooperate). Passed points are doubled. Defection keeps the 20 points; cooperation sends 20 to the other player, who receives 40. Stage 2 — Player C (third-party) observes past A/B decisions and can punish one player. Player C starts with 10 points per trial; spending 1 point deducts 3 points from the punished player. Points not spent are converted to money.",Real,Yes,Yes,No,2,20,20,Punish Only,10,0,10,3,NA,NA,NA,Token,0.2,CHF,Yes,Within,No,NA,Yes,Between,"Cooperate
Defect",Yes,Between,,,,Cooperate,Defect,Ingroup,Outgroup,16,1,16,,3,1.12,2.66,,,,,,,,
64,The Mentalizing Network Orchestrates the Impact of Parochial Altrusism on Social Norm Enforcement ,1,Lab,Natural,Platoon Affiliation,Real social groups — Swiss Army officer candidates randomly assigned to platoons during training,16,Swiss Army officer candidates,0,16,24.5,2.2,,Switzerland,Prisoners' Dilemma,"Stage 1 — Player A and Player B each start with 20 points and simultaneously choose to keep their points (defect) or pass them to the other player (cooperate). Passed points are doubled. Defection keeps the 20 points; cooperation sends 20 to the other player, who receives 40. Stage 2 — Player C (third-party) observes past A/B decisions and can punish one player. Player C starts with 10 points per trial; spending 1 point deducts 3 points from the punished player. Points not spent are converted to money.",Real,Yes,Yes,No,2,20,20,Punish Only,10,0,10,3,NA,NA,NA,Token,0.2,CHF,Yes,Within,No,NA,Yes,Between,"Cooperate
Defect",Yes,Between,,,,Cooperate,Defect,Outgroup,Ingroup,16,1,16,,2,0.47,1.31,,,,,,,,
64,The Mentalizing Network Orchestrates the Impact of Parochial Altrusism on Social Norm Enforcement ,1,Lab,Natural,Platoon Affiliation,Real social groups — Swiss Army officer candidates randomly assigned to platoons during training,16,Swiss Army officer candidates,0,16,24.5,2.2,,Switzerland,Prisoners' Dilemma,"Stage 1 — Player A and Player B each start with 20 points and simultaneously choose to keep their points (defect) or pass them to the other player (cooperate). Passed points are doubled. Defection keeps the 20 points; cooperation sends 20 to the other player, who receives 40. Stage 2 — Player C (third-party) observes past A/B decisions and can punish one player. Player C starts with 10 points per trial; spending 1 point deducts 3 points from the punished player. Points not spent are converted to money.",Real,Yes,Yes,No,2,20,20,Punish Only,10,0,10,3,NA,NA,NA,Token,0.2,CHF,Yes,Within,No,NA,Yes,Between,"Cooperate
Defect",Yes,Between,,,,Defect,Cooperate,Ingroup,Ingroup,16,1,16,,12,2.62,2.45,,,,,,,,
64,The Mentalizing Network Orchestrates the Impact of Parochial Altrusism on Social Norm Enforcement ,1,Lab,Natural,Platoon Affiliation,Real social groups — Swiss Army officer candidates randomly assigned to platoons during training,16,Swiss Army officer candidates,0,16,24.5,2.2,,Switzerland,Prisoners' Dilemma,"Stage 1 — Player A and Player B each start with 20 points and simultaneously choose to keep their points (defect) or pass them to the other player (cooperate). Passed points are doubled. Defection keeps the 20 points; cooperation sends 20 to the other player, who receives 40. Stage 2 — Player C (third-party) observes past A/B decisions and can punish one player. Player C starts with 10 points per trial; spending 1 point deducts 3 points from the punished player. Points not spent are converted to money.",Real,Yes,Yes,No,2,20,20,Punish Only,10,0,10,3,NA,NA,NA,Token,0.2,CHF,Yes,Within,No,NA,Yes,Between,"Cooperate
Defect",Yes,Between,,,,Defect,Cooperate,Ingroup,Outgroup,16,1,16,,10,2.44,2.59,,,,,,,,
64,The Mentalizing Network Orchestrates the Impact of Parochial Altrusism on Social Norm Enforcement ,1,Lab,Natural,Platoon Affiliation,Real social groups — Swiss Army officer candidates randomly assigned to platoons during training,16,Swiss Army officer candidates,0,16,24.5,2.2,,Switzerland,Prisoners' Dilemma,"Stage 1 — Player A and Player B each start with 20 points and simultaneously choose to keep their points (defect) or pass them to the other player (cooperate). Passed points are doubled. Defection keeps the 20 points; cooperation sends 20 to the other player, who receives 40. Stage 2 — Player C (third-party) observes past A/B decisions and can punish one player. Player C starts with 10 points per trial; spending 1 point deducts 3 points from the punished player. Points not spent are converted to money.",Real,Yes,Yes,No,2,20,20,Punish Only,10,0,10,3,NA,NA,NA,Token,0.2,CHF,Yes,Within,No,NA,Yes,Between,"Cooperate
Defect",Yes,Between,,,,Defect,Cooperate,Outgroup,Ingroup,16,1,16,,16,6.33,2.48,,,,,,,,
64,The Mentalizing Network Orchestrates the Impact of Parochial Altrusism on Social Norm Enforcement ,1,Lab,Natural,Platoon Affiliation,Real social groups — Swiss Army officer candidates randomly assigned to platoons during training,16,Swiss Army officer candidates,0,16,24.5,2.2,,Switzerland,Prisoners' Dilemma,"Stage 1 — Player A and Player B each start with 20 points and simultaneously choose to keep their points (defect) or pass them to the other player (cooperate). Passed points are doubled. Defection keeps the 20 points; cooperation sends 20 to the other player, who receives 40. Stage 2 — Player C (third-party) observes past A/B decisions and can punish one player. Player C starts with 10 points per trial; spending 1 point deducts 3 points from the punished player. Points not spent are converted to money.",Real,Yes,Yes,No,2,20,20,Punish Only,10,0,10,3,NA,NA,NA,Token,0.2,CHF,Yes,Within,No,NA,Yes,Between,"Cooperate
Defect",Yes,Between,,,,Defect,Defect,Ingroup,Ingroup,16,1,16,,6,1.31,1.97,,,,,,,,
64,The Mentalizing Network Orchestrates the Impact of Parochial Altrusism on Social Norm Enforcement ,1,Lab,Natural,Platoon Affiliation,Real social groups — Swiss Army officer candidates randomly assigned to platoons during training,16,Swiss Army officer candidates,0,16,24.5,2.2,,Switzerland,Prisoners' Dilemma,"Stage 1 — Player A and Player B each start with 20 points and simultaneously choose to keep their points (defect) or pass them to the other player (cooperate). Passed points are doubled. Defection keeps the 20 points; cooperation sends 20 to the other player, who receives 40. Stage 2 — Player C (third-party) observes past A/B decisions and can punish one player. Player C starts with 10 points per trial; spending 1 point deducts 3 points from the punished player. Points not spent are converted to money.",Real,Yes,Yes,No,2,20,20,Punish Only,10,0,10,3,NA,NA,NA,Token,0.2,CHF,Yes,Within,No,NA,Yes,Between,"Cooperate
Defect",Yes,Between,,,,Defect,Defect,Ingroup,Outgroup,16,1,16,,4,0.94,1.81,,,,,,,,
64,The Mentalizing Network Orchestrates the Impact of Parochial Altrusism on Social Norm Enforcement ,1,Lab,Natural,Platoon Affiliation,Real social groups — Swiss Army officer candidates randomly assigned to platoons during training,16,Swiss Army officer candidates,0,16,24.5,2.2,,Switzerland,Prisoners' Dilemma,"Stage 1 — Player A and Player B each start with 20 points and simultaneously choose to keep their points (defect) or pass them to the other player (cooperate). Passed points are doubled. Defection keeps the 20 points; cooperation sends 20 to the other player, who receives 40. Stage 2 — Player C (third-party) observes past A/B decisions and can punish one player. Player C starts with 10 points per trial; spending 1 point deducts 3 points from the punished player. Points not spent are converted to money.",Real,Yes,Yes,No,2,20,20,Punish Only,10,0,10,3,NA,NA,NA,Token,0.2,CHF,Yes,Within,No,NA,Yes,Between,"Cooperate
Defect",Yes,Between,,,,Defect,Defect,Outgroup,Ingroup,16,1,16,,9,2.62,3.02,,,,,,,,
